category,Công nghệ phần mềm,Toán học,Khoa học máy tính,Ngôn ngữ,Mạng và truyền thông,Kinh tế học cơ bản,Marketing,Lịch sử,Sức khỏe và đời sống,Nghệ thuật
Công nghệ phần mềm,1,0.5,0.9,0.1,0.9,0.1,0.1,0.1,0.1,0.1
Toán học,0.5,1,0.5,0.1,0.5,0.5,0.1,0.1,0.1,0.1
Khoa học máy tính,0.9,0.5,1,0.1,0.9,0.1,0.5,0.1,0.1,0.1
Ngôn ngữ,0.1,0.1,0.1,1,0.1,0.3,0.5,0.5,0.1,0.5
Mạng và truyền thông,0.9,0.5,0.9,0.1,1,0.1,0.9,0.1,0.1,0.1
Kinh tế học cơ bản,0.1,0.5,0.1,0.3,0.1,1,0.9,0.3,0.1,0.1
Marketing,0.1,0.1,0.5,0.5,0.9,0.9,1,0.1,0.1,0.5
Lịch sử,0.1,0.1,0.1,0.5,0.1,0.3,0.1,1,0.1,0.5
Sức khỏe và đời sống,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,0.1
Nghệ thuật,0.1,0.1,0.1,0.5,0.1,0.1,0.5,0.5,0.1,1
